tag,url,id
Indie,https://steamdb.info/tag/492/,492
Low Confidence Metric,https://steamdb.info/tag/1003823/,1003823
Action,https://steamdb.info/tag/19/,19
Casual,https://steamdb.info/tag/597/,597
Adventure,https://steamdb.info/tag/21/,21
Singleplayer,https://steamdb.info/tag/4182/,4182
Simulation,https://steamdb.info/tag/599/,599
Strategy,https://steamdb.info/tag/9/,9
RPG,https://steamdb.info/tag/122/,122
2D,https://steamdb.info/tag/3871/,3871
Atmospheric,https://steamdb.info/tag/4166/,4166
Puzzle,https://steamdb.info/tag/1664/,1664
Free to Play,https://steamdb.info/tag/113/,113
Early Access,https://steamdb.info/tag/493/,493
Multiplayer,https://steamdb.info/tag/3859/,3859
Story Rich,https://steamdb.info/tag/1742/,1742
Fantasy,https://steamdb.info/tag/1684/,1684
Pixel Graphics,https://steamdb.info/tag/3964/,3964
Violent,https://steamdb.info/tag/4667/,4667
Anime,https://steamdb.info/tag/4085/,4085
First-Person,https://steamdb.info/tag/3839/,3839
Colorful,https://steamdb.info/tag/4305/,4305
Nudity,https://steamdb.info/tag/6650/,6650
3D,https://steamdb.info/tag/4191/,4191
Cute,https://steamdb.info/tag/4726/,4726
Great Soundtrack,https://steamdb.info/tag/1756/,1756
Arcade,https://steamdb.info/tag/1773/,1773
Sexual Content,https://steamdb.info/tag/12095/,12095
Funny,https://steamdb.info/tag/4136/,4136
VR,https://steamdb.info/tag/21978/,21978
Sci-fi,https://steamdb.info/tag/3942/,3942
Shooter,https://steamdb.info/tag/1774/,1774
Exploration,https://steamdb.info/tag/3834/,3834
Gore,https://steamdb.info/tag/4345/,4345
Horror,https://steamdb.info/tag/1667/,1667
Platformer,https://steamdb.info/tag/1625/,1625
Retro,https://steamdb.info/tag/4004/,4004
Difficult,https://steamdb.info/tag/4026/,4026
Sports,https://steamdb.info/tag/701/,701
Family Friendly,https://steamdb.info/tag/5350/,5350
Relaxing,https://steamdb.info/tag/1654/,1654
Open World,https://steamdb.info/tag/1695/,1695
Female Protagonist,https://steamdb.info/tag/7208/,7208
Survival,https://steamdb.info/tag/1662/,1662
Co-op,https://steamdb.info/tag/1685/,1685
Racing,https://steamdb.info/tag/699/,699
Visual Novel,https://steamdb.info/tag/3799/,3799
Comedy,https://steamdb.info/tag/1719/,1719
Massively Multiplayer,https://steamdb.info/tag/128/,128
FPS,https://steamdb.info/tag/1663/,1663
Action-Adventure,https://steamdb.info/tag/4106/,4106
Third Person,https://steamdb.info/tag/1697/,1697
Turn-Based,https://steamdb.info/tag/1677/,1677
Sandbox,https://steamdb.info/tag/3810/,3810
Realistic,https://steamdb.info/tag/4175/,4175
Online Co-Op,https://steamdb.info/tag/3843/,3843
Physics,https://steamdb.info/tag/3968/,3968
Stylized,https://steamdb.info/tag/4252/,4252
Top-Down,https://steamdb.info/tag/4791/,4791
Point & Click,https://steamdb.info/tag/1698/,1698
Space,https://steamdb.info/tag/1755/,1755
PvP,https://steamdb.info/tag/1775/,1775
Choices Matter,https://steamdb.info/tag/6426/,6426
Mystery,https://steamdb.info/tag/5716/,5716
Minimalist,https://steamdb.info/tag/4094/,4094
Management,https://steamdb.info/tag/12472/,12472
Psychological Horror,https://steamdb.info/tag/1721/,1721
Cartoony,https://steamdb.info/tag/4195/,4195
Adult Content,https://steamdb.info/tag/65443/,65443
Building,https://steamdb.info/tag/1643/,1643
Dark,https://steamdb.info/tag/4342/,4342
Local Multiplayer,https://steamdb.info/tag/7368/,7368
Side Scroller,https://steamdb.info/tag/3798/,3798
2D Platformer,https://steamdb.info/tag/5379/,5379
Tactical,https://steamdb.info/tag/1708/,1708
Replay Value,https://steamdb.info/tag/4711/,4711
Multiple Endings,https://steamdb.info/tag/6971/,6971
Design & Illustration,https://steamdb.info/tag/84/,84
Puzzle-Platformer,https://steamdb.info/tag/5537/,5537
Old School,https://steamdb.info/tag/3916/,3916
Character Customization,https://steamdb.info/tag/4747/,4747
Controller,https://steamdb.info/tag/7481/,7481
Shoot 'Em Up,https://steamdb.info/tag/4255/,4255
Combat,https://steamdb.info/tag/3993/,3993
